,Gene-1,Gene-2,Gene-3,Gene-4,Gene-5,Gene-6,Gene-7,Gene-8,Gene-9,Gene-10,Gene-11,Gene-12,Gene-13,Gene-14,Gene-15,Gene-16,Gene-17,Gene-18,Gene-19,Gene-20,Gene-21,Gene-22,Gene-23,Gene-24,Gene-25,Gene-26,Gene-27,Gene-28,Gene-29,Gene-30,Gene-31,Gene-32,Gene-33,Gene-34,Gene-35,Gene-36,Gene-37,Gene-38,Gene-39,Gene-40,Gene-41,Gene-42,Gene-43,Gene-44,Gene-45,Gene-46,Gene-47,Gene-48,Gene-49,Gene-50,Gene-51,Gene-52,Gene-53,Gene-54,Gene-55,Gene-56,Gene-57,Gene-58,Gene-59,Gene-60,Gene-61,Gene-62,Gene-63,Gene-64,Gene-65,Gene-66,Gene-67,Gene-68,Gene-69,Gene-70,Gene-71,Gene-72,Gene-73,Gene-74,Gene-75,Gene-76,Gene-77,Gene-78,Gene-79,Gene-80,Gene-81,Gene-82,Gene-83,Gene-84,Gene-85,Gene-86,Gene-87,Gene-88,Gene-89,Gene-90,Gene-91,Gene-92,Gene-93,Gene-94,Gene-95,Gene-96,Gene-96,Gene-97,Gene-98,Gene-99,Gene-100
S1,-0.789203041,1.125134711,1.015747246,-1.059775438,0.056636093,-1.611095795,0.8064924,2.003427727,0.093263946,-2.89626424,-1.008960613,0.228106128,-0.752796845,1.224999757,-1.090903145,1.749143823,0.132391431,-0.233464711,-1.461190691,-0.782711488,-0.645938692,0.701499277,0.51652099,-0.7561398,-0.823519405,-0.806645386,-1.706816327,-0.890448752,-0.719121311,-0.117006065,0.388226343,0.594042665,-1.490812182,1.878923435,1.041724606,1.058863078,-0.56064839,-0.026603341,-0.511613502,-0.849039463,-0.144386121,-1.8230324,-0.134024504,1.88803096,1.09273143,-0.33248959,-2.689847831,0.761756737,1.977951102,0.839593344,-1.634528238,-1.725278934,-0.091629225,-2.540558875,1.286501729,0.236700355,-0.347741236,0.646477665,1.08504825,1.26068827,0.657974511,-2.117433275,0.107832081,1.072936311,1.248925056,-1.426435193,-1.889412112,1.614593642,-0.432738816,-1.453018829,-0.244905623,-0.890869418,-1.099176336,-1.458636264,-0.169740006,-0.693547887,0.863446456,-0.541576562,0.805624074,0.336021043,-0.902634187,-0.548127021,1.56481501,0.442126916,-1.817375634,2.003957168,0.89810595,1.160550968,-0.720213899,-0.172232408,-1.618324128,-2.615031832,-1.113333252,1.586541957,1.124254693,-0.084340134,0.633185666,1.412128215,1.055129585,-1.069192338,-0.505546747
S2,1.177286757,-0.910031778,-0.971988096,-0.851450648,0.141093034,0.236067022,-1.473679177,0.136413468,-0.445105222,-1.032454319,-0.558278149,-1.402721715,-0.834270367,-1.730985964,1.215048924,-1.667823368,-0.026957442,-1.440836276,-1.274477957,1.004433162,1.143925142,-1.694722385,1.851951717,0.704917791,-0.792670917,-1.139555149,0.692942703,-0.907187621,-0.795850283,0.340478541,-0.804245684,1.245130118,0.599666191,-1.529090894,1.251844378,-0.108432413,0.68954807,-1.061475562,-0.580399315,0.975917846,1.426763879,1.317531859,0.871214416,0.857208637,-1.657099277,1.942723136,-0.320493836,0.697338606,-0.227224913,1.258952461,2.169399689,1.529250339,-0.600750437,-0.308361966,-0.250737535,-1.542211484,0.255308193,0.996780788,-0.991009269,0.846465915,-1.578674125,1.304739948,-1.163864791,1.394801774,1.331580543,-1.461773199,0.756499637,1.171462282,-0.989497564,-1.462638394,-1.729220617,-0.623332122,0.505747582,-0.640609022,-0.46741468,-0.348579954,1.093557306,1.356410345,0.539607188,-1.326591262,0.504645055,-0.793335843,0.102170672,-0.774713552,-1.466163787,-1.999687301,0.59859839,0.169570442,1.459602504,1.324958968,-1.293405684,-2.082922168,1.737960528,-0.446835821,0.72804585,-1.364054542,-2.465389426,1.401458676,1.592208377,1.059925867,0.171409667
S3,1.158685897,1.000641742,1.100478592,1.052989993,2.247840713,0.310108288,-0.360353966,0.412311505,-0.479665534,-1.114979256,0.678028368,0.515847235,1.520822524,0.188455045,0.959017168,0.824835158,-0.050251489,-0.740134589,-0.314993722,0.676580308,0.321286038,0.80795869,1.359417377,0.943851134,1.065002925,-1.160671819,-0.663272213,-1.007515469,-0.628194564,-1.227985871,-1.825795163,1.553226646,-0.288057294,2.211780262,1.60849008,0.840602057,1.081658302,0.067106722,-0.411658544,-0.720592208,0.758176069,-1.048165704,0.836910734,0.552817855,1.417334874,1.051091741,0.147271495,0.876323639,1.390391015,-1.565755861,1.363312963,0.713180051,-0.99609113,0.368496343,-1.583969339,0.417377526,1.903133908,-1.474202207,1.12949801,-0.747192792,-0.860073514,-2.376839384,0.706691904,-1.105939608,-1.459704772,1.797345192,-1.015682428,-0.640336476,1.143605692,-0.158274344,0.777155708,-0.784994726,0.059695313,0.66506669,1.536192457,1.843666644,-2.30284472,0.599984393,-1.558778929,1.242060908,-1.442784228,-1.357200591,0.983727251,0.331271512,-0.929324177,-0.094132329,0.67869231,0.718320666,-1.999916635,1.938829839,0.315458472,-0.041034964,0.430868806,0.023827642,-0.800034266,-0.199413934,-0.906744194,1.568442948,-1.959382833,1.008652332,-0.56162332
S4,-1.02033761,0.931431558,-1.010547694,-1.123656667,-1.908981179,-0.622178677,-1.564722036,-0.000473881,-0.361217961,1.000987996,-0.92242007,-0.216634474,-1.94572737,1.876561406,-1.135316954,-1.229610662,-0.148187897,-0.635564803,-0.26346109,1.412778962,-0.907268857,1.582323616,-1.758815493,1.071817054,1.342297671,1.45551195,0.719851016,-1.357884605,-0.883344179,-1.091591566,1.44766661,0.136980698,0.594465331,0.136691921,0.889766528,-1.613113677,0.461623017,0.445377646,-1.832444145,-0.312529292,-1.236960244,0.134459505,0.645181751,2.143812974,-1.017262742,2.136170612,-0.2697243,-0.412674248,0.270968028,0.523568024,-1.874553599,1.442644123,1.223379267,1.490486198,0.779944811,0.062567121,-2.107406615,-0.791167856,1.059059048,1.348224068,0.687045617,1.024500798,-1.517135012,1.96656471,0.652154032,-0.607789155,-0.718851847,1.645760089,-0.773982637,-1.718941203,-0.158962019,-1.407585224,0.369665321,2.143096516,0.837929882,-1.770303255,1.084349235,-1.094301723,-1.282787801,0.978253802,1.008874756,1.085140742,-1.811225324,-0.824821352,-1.147266774,-0.590875977,-1.50653651,-0.192019049,0.513510568,2.067404039,1.303926165,-0.616239458,0.349113718,-1.510111191,1.747160477,1.815995537,0.332296735,-1.348776469,1.498669548,0.833755803,-0.578678857
S5,-1.01519104,-1.020952421,0.992373926,1.019316738,0.049552363,-0.476925453,-0.681310272,-0.014760433,0.013392002,1.244269436,0.948179952,-0.111375655,0.812014443,0.706379723,1.393536111,0.408516576,2.098486803,-1.332057743,1.935242884,-0.798506375,0.109159085,-0.926051126,0.059545494,-0.117506768,-0.411011129,1.871148784,-0.44135403,-1.286814456,0.987253279,0.933034233,-0.349643061,-0.73206945,-0.695074221,0.133030847,-1.064935526,-0.252079611,-0.508942746,1.27758753,-0.351263254,-0.706790824,1.1368315,-1.100469317,-0.212206558,1.060778449,-1.174790186,-1.557936485,-1.559208819,1.018032692,-1.412290707,-1.77048285,-0.791234093,-0.13036435,1.01795027,-1.231277946,-1.292878473,2.039575716,0.000655981,0.703450977,-1.050621409,-0.807609139,-0.584420913,-0.168259364,-0.76405839,1.224900764,0.489546878,2.216175704,0.914258165,-1.125048111,1.269901368,1.019763442,-0.5570514,-1.09738471,2.255603534,-1.102695234,-1.09370611,0.959568095,-0.422762632,-1.210822538,-1.219006699,0.547089437,1.054295134,-0.147048462,-0.272299906,0.285164388,-0.87776153,-0.300224603,-2.244629865,-1.659738027,0.516071386,1.393761509,-1.576559704,0.2663745,-1.352614227,-1.690714807,1.470890495,0.976865417,2.298558812,1.337170073,1.188011664,-1.140636806,0.169086578
S6,-0.95226071,-1.106236309,1.124682955,0.910285177,2.19197588,-1.570282296,-0.465330572,2.348326754,-0.584805419,-1.33778494,1.814964293,0.573903102,1.288734796,-1.855403209,-0.358354585,0.685427361,-0.093791763,1.268410431,0.242611599,1.002283936,0.061053808,-1.958421633,-1.056449152,1.365947323,-1.906481608,1.502404539,-0.88469855,0.831766183,-0.426550716,-0.817299866,1.646533252,-1.450723012,-1.442663311,1.035721761,1.737820998,-0.439367774,-1.22548996,1.01297988,-0.696792003,-2.105895366,-1.647404881,-1.585835908,-0.422181276,0.576823697,-1.843243431,-1.018311034,-1.865622063,-0.70991447,-1.544906428,0.81572045,-0.941055254,0.828230388,-0.783435125,1.226178151,-0.917706141,-1.467475636,0.220531879,0.947971558,0.93594364,-1.792503354,-1.530930253,0.130793883,0.627465387,-1.37209263,-1.353501113,0.316302725,0.155083952,0.881190456,1.396894423,0.951879545,0.173984977,1.56375452,0.453834046,-1.240184447,1.465814803,1.564325347,1.138468801,0.210091768,0.291084235,-1.050724843,-0.799543026,1.274232392,-0.929230469,0.810914292,0.818203219,1.315305814,-0.742290912,1.664347349,-2.210125023,-1.03440489,-0.019733244,0.208898453,-1.255058029,-0.491622577,-1.059199994,1.161702805,-1.258203983,-0.084075985,1.004873674,-0.925379145,0.541010664
S7,-0.946256932,0.842432494,1.083933126,-1.071624726,0.103712616,0.304648928,-0.55901912,2.161281001,-1.146695259,-0.949444842,1.353492721,-0.586499809,1.129006143,0.567679142,-0.29212618,0.889410032,0.125651743,-0.855135374,1.768189513,-1.01112786,0.316892935,0.68340321,-1.36795944,1.407353161,-1.43278036,1.708994904,-1.201276988,-1.644128261,-0.089625032,1.054403304,0.067880585,1.137262814,0.809968407,1.131358712,-0.549525904,0.809605457,0.086179791,-0.900293514,0.659803577,-1.469419965,-1.082201132,0.853027965,-0.247838787,1.439776284,-0.886835655,-2.03986067,-2.033665493,1.264834601,-1.350155773,0.59400878,-0.716527445,0.663158762,0.757542065,-1.77542748,1.159812978,-1.163385919,0.190161218,-1.888293519,1.078932884,1.159196915,-0.950098329,-0.20948471,-0.818856011,-0.616725989,0.245738698,-0.551811523,0.782294902,-0.034053451,-1.110941216,1.812951092,2.300957961,-0.658038427,1.898184903,-0.76453646,-0.724886285,-0.588418046,-0.522148113,0.555859161,1.083301986,-1.029408437,-1.613729033,1.604736257,1.996394357,1.523890839,1.137420935,0.401486626,-1.052925813,0.254901499,-0.92491384,-0.07222961,-1.477398545,1.229089589,-0.288049325,-0.176013915,1.090991364,-0.754818502,-1.230778126,0.183160251,-2.373381451,-1.102807446,-0.861803454
S8,-0.969993869,-1.016246073,1.054292892,-0.727321504,2.106735839,-0.395459439,-0.42757957,0.062336113,1.011134099,-0.663318705,0.410769957,1.907033569,-0.396662088,1.01254921,0.472930803,-0.247797097,-0.110432538,0.077266578,1.706645674,0.838072276,-1.207827838,1.425859459,-0.925371106,-0.210487064,1.322598354,0.818186916,-0.707360462,-1.628400711,-0.971797975,1.934717056,1.445413748,1.118756011,0.978451553,-0.202698277,-0.600417805,-0.621389669,-1.489397963,-0.683208647,-0.241438199,1.125700716,-1.349577496,-0.902552058,0.13030408,-0.346932818,-1.121918419,1.079246286,-1.772910886,-1.197911167,1.134474545,-1.390524934,-2.270754597,-0.684437097,-1.169178795,1.339544901,1.508352282,0.138927319,-0.259803226,1.638804693,0.986520776,0.680563705,-0.078728831,1.070031547,1.150173943,-1.1602845,1.141621832,0.300832262,0.8401842,-1.157042064,-0.661615179,-1.16651733,-0.115986493,0.895218545,-2.060724746,0.221893859,1.814981379,0.642817711,1.857585895,0.979768533,-0.056098482,-0.289369732,1.09024268,0.240444162,0.565229995,0.77181787,-0.9311588,-0.055251557,1.399476738,0.315910696,1.289016044,1.036995116,-0.87170282,0.239763402,1.214543929,2.272697284,-0.382781179,0.894997291,-0.511756994,-0.831357716,0.775105781,1.00283983,1.070100187
S9,1.026920959,-0.897890691,-1.114307405,-0.919880516,0.051138015,-1.53862693,0.085423747,-2.150645902,-1.382540337,3.271743578,-0.881473051,1.461957607,-0.436259088,1.779597018,1.158987385,1.712920693,-0.294556569,-0.768165448,-1.26015513,1.195636417,1.836424747,2.16190556,-0.414526702,-2.330818229,-0.601275453,1.406000818,1.350215361,0.021735934,-1.02762715,0.424509741,0.15593655,0.26281308,1.464578389,-1.582425781,0.300431711,-1.30275669,-2.262565378,0.713735263,-0.564349645,-0.796188011,-1.224329082,1.994344243,-0.448999663,-1.144874916,0.750095744,0.260754598,2.384090774,1.358844299,0.338739486,1.579941243,0.799996312,1.802926778,-1.503230352,-1.169616794,-1.324410478,-1.975895397,-0.375656684,1.286531397,1.014351605,2.651483102,-1.747264754,-1.361864266,0.958536403,-0.553653362,0.788084825,1.500887217,2.173020817,1.256512443,-0.972062374,-1.619569925,0.911370837,-1.269306684,-2.46872404,-1.965811972,-0.501723559,-2.309514983,0.07455837,1.265373369,0.703068603,-2.002065057,0.055844981,-1.608726383,-1.057626387,-0.08908501,1.778485882,1.626039741,-1.059695207,-1.49262074,-0.522778157,-1.509797935,0.344309427,-0.124371963,-1.412030611,-1.112413822,2.101594938,0.093153586,0.621562945,-0.309758126,-1.724038649,1.044962642,-0.184978646
S10,-0.879899057,0.976049003,-0.811063518,-1.069281938,-1.74949131,1.334451763,-1.182081438,0.276144678,-0.624569884,-1.143928135,1.105086737,0.959521717,-1.794436044,2.34154323,-0.989333992,-0.688401306,0.168901344,-0.693878846,0.394745094,1.836213897,-1.070211029,-0.678414671,-1.402017837,-0.886433326,1.797498275,-0.538047935,-1.321873821,-1.231472499,-0.298271097,1.867171146,1.265362554,-0.688224545,0.541941428,-1.329372793,-0.228525382,1.132508161,-0.787881469,-1.932682384,-0.955580456,1.736463012,0.92090544,0.888192514,-1.077099875,-0.244177814,-0.720634571,-0.913190086,-0.29851557,-1.046222649,0.901198278,0.606899103,-0.109118474,0.457801909,1.201794421,1.044585336,1.383158358,-1.147970998,0.03614592,0.754205741,1.050661721,-0.476463546,-0.470406885,0.915987892,1.555832908,-0.755447848,1.478852784,-1.41828517,-0.874043493,0.81513433,1.922451429,0.868431531,-0.607652371,-1.101848579,0.228267292,1.345496399,-0.55140485,0.576594335,-1.109626022,-1.793705567,0.847183599,-1.230073898,1.051223374,-1.679256583,-1.193868429,-0.327218413,-0.628814831,-0.550748708,0.813049134,-1.297925357,1.717781079,0.896786969,-0.619800403,0.172852098,-0.653191455,0.524636057,-0.951955901,1.542301514,-1.658739023,0.341911676,0.746506305,-1.023706193,-0.328174109
