Samples,HRDstatus,DSBrepair,APOBEC-C,SBS1,APOBEC-D,SBS5,SBS8
3989,0,3.135494216,3.583518938,6.49375384,5.886104031,1.098612289,5.627621114
4069,0,2.197224577,2.397895273,6.893656355,4.976733742,2.397895273,4.753590191
4072,0,3.80666249,9.613736675,0,9.447465721,4.077537444,5.231108617
4261,0,1.791759469,3.850147602,5.549076085,3.583518938,0,2.564949357
4266,0,3.295836866,6.021023349,5.398162702,6.721425701,0,0
4267,0,2.995732274,6.045005314,6.639875834,5.159055299,2.564949357,5.789960171
4604,4.218111454,8.170751424,6.455198563,6.173786104,5.940171253,2.197224577,8.037220031
4606,0,2.397895273,3.401197382,5.549076085,0,1.098612289,3.931825633
4607,0,3.295836866,9.369478593,0.693147181,9.557681895,3.044522438,0
4613,0,2.197224577,6.320768294,5.416100402,6.413458957,0,4.48863637
4833,0,8.604654467,6.411818268,5.726847748,0,1.609437912,0
4836,0,7.037027615,5.659482216,6.052089169,5.342334252,0,5.988961417
4841,0,7.410347098,5.92157842,6.200509174,5.602118821,3.433987204,7.618742378
4845,0,6.889591308,1.945910149,6.06610809,0,0,7.623153068
4847,0,5.780743516,5.605802066,6.792344427,5.351858133,5.739792912,7.706612914
4951,4.218111454,6.639875834,5.638354669,5.241747015,4.025351691,2.944438979,6.66440902
4953,4.218111454,8.102889135,5.966146739,5.823045895,5.693732139,0,6.894670039
4955,4.218111454,7.237778192,5.918893854,5.365976015,5.826000107,3.891820298,7.839131648
4957,4.218111454,6.259581464,5.874930731,5.424950017,5.278114659,3.295836866,6.986566459
4958,4.218111454,7.22329568,6.720220155,1.386294361,6.548219103,2.197224577,8.198639455
4959,4.218111454,7.242797923,4.406719247,5.834810737,4.477336814,4.59511985,7.618251098
4962,0,4.919980926,7.811568489,5.303304908,7.371489295,2.564949357,7.575584652
4967,0,4.48863637,6.814542897,5.973809612,6.343880434,0,5.411646052
4969,0,2.48490665,3.044522438,4.983606622,4.007333185,0,4.584967479
4970,0,3.496507561,4.615120517,6.059123196,4.8978398,3.891820298,4.709530201
4971,0,5.683579767,4.919980926,6.857514063,4.912654886,0,6.744059186
4975,0,8.800565992,5.081404365,6.12249281,4.804021045,0,0
4976,0,4.890349128,6.052089169,7.278628942,5.65248918,3.891820298,5.308267697
4977,0,5.129898715,9.968291663,6.739336627,9.840600999,3.218875825,6.447305863
4981,0,1.098612289,3.258096538,6.390240667,0,1.609437912,6.12905021
4982,0,1.791759469,0,6.054439346,4.262679877,0,4.17438727
4983,0,2.197224577,3.663561646,5.517452896,3.761200116,2.197224577,0
4985,0,3.496507561,4.248495242,5.659482216,4.007333185,1.945910149,2.890371758
5928,0,8.193953024,5.010635294,6.06610809,5.780743516,4.394449155,7.818027939
5930,4.218111454,8.060540047,6.212606096,5.521460918,0,3.044522438,0
5932,0,8.805824813,7.663877259,6.045005314,5.402677382,1.945910149,0
5934,0,9.241742135,3.555348061,6.298949247,0,3.663561646,6.391917113
5936,0,3.828641396,4.48863637,6.133398043,5.303304908,0,5.192956851
5937,0,5.710427017,10.01319361,0,10.05599402,1.609437912,7.050989447
5942,0,7.780303088,5.945420609,6.836259277,5.613128106,2.708050201,0
5945,4.218111454,8.881697406,5.910796644,5.897153868,0,2.944438979,6.745236349
5946,4.218111454,3.663561646,5.420534999,7.216709487,5.252273428,4.418840608,5.468060141
5947,0,2.995732274,5.697093487,6.248042875,4.812184355,1.098612289,5.84932478
5948,4.218111454,9.510000421,3.135494216,6.459904454,0,6.216606101,0
5950,0,2.197224577,3.713572067,6.872128101,0,1.609437912,5.176149733
5956,0,5.375278408,4.844187086,6.154858094,5.241747015,3.761200116,7.833600224
5959,0,2.944438979,5.755742214,5.82008293,4.744932128,4.007333185,4.219507705
5960,4.218111454,6.419994928,5.278114659,5.375278408,5.225746674,3.931825633,7.198183577
5961,0,3.044522438,3.433987204,6.626717749,5.65248918,0,5.225746674
5964,0,3.713572067,4.442651256,5.579729826,4.510859507,3.496507561,6.385194399
6016,0,3.044522438,5.590986981,5.97126184,5.891644212,0,4.110873864
6041,0,1.791759469,3.663561646,5.669880923,4.369447852,1.945910149,2.302585093
6042,4.218111454,6.854354502,7.112327445,5.59471138,6.423246964,1.098612289,7.620705087
6043,0,7.996317232,8.975756631,0,8.691818542,0,8.628018747
6046,0,3.610917913,4.8978398,6.751101469,4.94875989,0,6.473890696
6406,4.218111454,8.410053316,5.257495372,5.505331536,0,3.044522438,0
6409,4.218111454,8.658345471,7.006695227,5.80814249,0,4.17438727,7.302496424
6411,4.218111454,8.629986019,6.572282543,5.638354669,0,3.295836866,0
6413,4.218111454,7.83873756,6.530877628,5.493061443,5.828945618,0,6.610696045
6417,0,2.890371758,4.143134726,6.634633358,3.610917913,2.397895273,0
6418,0,2.397895273,2.708050201,5.774551546,4.672828834,2.397895273,4.744932128
6422,0,4.234106505,5.983936281,6.302618976,5.739792912,4.709530201,6.741700695
6466,0,1.791759469,2.833213344,5.631211782,5.068904202,0,2.833213344
6684,4.218111454,9.205227323,8.02486215,6.326149473,0,3.891820298,0
6719,0,8.275376375,4.605170186,5.998936562,0,0,6.146329258
6720,0,2.772588722,4.510859507,5.777652323,4.770684624,3.295836866,2.944438979
6721,0,3.044522438,4.852030264,6.513230111,4.86753445,3.218875825,5.717027701
6722,0,7.574045005,8.434463544,5.192956851,7.828834528,4.204692619,6.152732695
6727,0,8.067776196,6.90475077,7.254177846,6.011267174,3.610917913,0
6728,0,7.351158226,5.075173815,5.789960171,4.770684624,1.098612289,5.303304908
6729,0,7.700295203,4.736198448,6.456769656,4.454347296,4.262679877,0
6730,0,9.137554602,5.398162702,6.21860012,0,0,0
6731,4.218111454,7.412764017,7.901747519,5.758901774,7.208600338,3.761200116,7.482118924
6732,0,4.59511985,6.013715156,5.726847748,5.159055299,3.761200116,0
6733,0,5.117993812,6.65929392,6.549650742,6.11146734,4.691347882,4.33073334
7199,0,1.945910149,3.465735903,6.163314804,3.36729583,1.098612289,5.123963979
7201,0,2.944438979,2.079441542,5.988961417,4.890349128,1.609437912,0
7206,0,5.017279837,5.501258211,6.182084907,0,3.610917913,7.19142933
7211,4.218111454,8.648747631,6.504288174,6.180016654,0,0,7.206377291
7214,0,2.944438979,2.302585093,5.318119994,4.934473933,1.098612289,2.63905733
7215,4.218111454,6.80682936,7.100851909,5.669880923,7.007600614,0,7.54538975
7217,4.218111454,8.664923303,7.105786129,6.208590026,6.470799504,3.761200116,0
7218,0,1.609437912,3.258096538,6.315358002,4.262679877,0,4.369447852
7219,0,3.737669618,8.73809423,5.505331536,8.327726166,4.262679877,4.077537444
7220,0,2.397895273,5.556828062,6.745236349,6.098074282,1.945910149,0
7221,0,2.397895273,5.327876169,6.776506992,5.932245187,0,4.477336814
7238,0,1.945910149,3.828641396,6.246106765,5.963579344,2.833213344,4.48863637
7240,0,7.171656823,5.634789603,6.609349243,4.615120517,5.283203729,0
7248,0,9.23610558,7.335633982,6.376726948,0,5.164785974,0
7249,0,3.784189634,6.812345094,6.052089169,6.679599186,4.418840608,6.943122423
7250,4.218111454,8.907747687,3.17805383,6.040254711,0,0,0
7316,0,8.480529207,6.186208624,5.749392986,0,0,0
7321,0,8.379079889,7.076653815,5.908082938,0,0,0
7426,0,9.377040548,8.706821323,6.306275287,0,0,0
7428,0,9.527047123,7.353081921,6.444131257,0,2.944438979,0
8609,0,4.077537444,7.100027167,6.180016654,7.61332498,3.044522438,5.33753808
8611,4.218111454,8.528528701,6.826545224,5.793013608,0,0,0
8612,0,3.17805383,4.762173935,6.514712691,5.347107531,3.295836866,6.413458957
8614,0,2.564949357,3.80666249,5.318119994,4.304065093,2.397895273,4.49980967
8615,0,6.818924065,7.200424893,6.089044875,6.516193076,3.761200116,0
8618,0,3.091042453,3.828641396,5.703782475,4.442651256,1.098612289,0
8620,0,2.197224577,6.891625897,5.370638028,6.466144724,1.609437912,4.219507705
8622,0,4.158883083,4.158883083,5.351858133,4.65396035,0,2.48490665
8623,0,4.248495242,2.708050201,5.568344504,5.752572639,0,2.772588722
8652,4.218111454,9.480138475,7.479299638,6.716594774,0,4.859812404,0
8660,0,9.632269206,7.943782692,7.372746366,7.912056888,6.336825731,0
8828,0,2.63905733,5.857933154,5.902633333,5.918893854,1.098612289,0
8830,0,8.882391706,4.158883083,6.786716951,0,3.135494216,0
8832,4.218111454,10.10225644,6.369900983,6.541029999,0,0,6.552507887
8965,0,4.025351691,6.075346031,5.897153868,6.270988432,4.143134726,6.796823718
8977,0,4.430816799,4.859812404,7.707961532,4.48863637,2.197224577,5.442417711
8978,4.218111454,8.43793351,6.380122537,6.304448802,0,5.789960171,0
8979,0,4.33073334,5.913503006,6.208590026,5.327876169,3.496507561,4.804021045
8980,4.218111454,8.653121709,7.482681828,6.573680167,6.586171655,1.098612289,8.572627898
8981,0,2.63905733,5.176149733,6.159095388,4.477336814,2.564949357,6.159095388
8982,0,9.497847429,8.776630098,6.785587645,6.516193076,5.407171771,0
8984,4.218111454,8.893435441,7.055312843,6.272877007,0,5.105945474,0
9000,4.218111454,8.587838031,6.620073207,6.03787092,6.242223265,3.044522438,7.608374474
9001,0,2.772588722,4.17438727,5.978885765,4.158883083,3.044522438,0
9002,0,5.241747015,5.891644212,6.349138991,5.97126184,5.003946306,7.64921632
9004,4.218111454,9.006263883,7.288927695,6.084499413,5.537334267,1.098612289,0
9063,0,2.708050201,10.08597576,5.988961417,10.14921418,3.36729583,0
9064,0,8.705662479,6.70073111,6.455198563,6.282266747,2.197224577,8.273336599
9065,0,2.944438979,2.079441542,6.12249281,5.831882477,0,4.234106505
9067,4.218111454,2.197224577,4.691347882,6.054439346,5.375278408,2.564949357,5.278114659
9464,0,4.510859507,6.17586727,6.150602768,6.03787092,2.833213344,7.382124366
9539,0,3.663561646,5.384495063,7.770223204,4.356708827,1.945910149,6.558197803
9541,0,3.931825633,2.944438979,7.232733136,5.934894196,3.295836866,5.874930731
9544,0,0.693147181,2.890371758,5.888877958,4.727387819,0,5.605802066
9567,0,4.317488114,5.616771098,6.539585956,5.468060141,0,6.796823718
9568,0,10.05065678,8.256607345,7.173191742,7.40731771,2.708050201,5.860786223
9569,0,2.995732274,4.369447852,5.84932478,3.761200116,2.833213344,2.890371758
9570,0,1.609437912,3.091042453,6.302618976,5.730099783,1.098612289,5.583496309
9571,0,7.430707083,4.624972813,6.018593214,4.382026635,0,0
9572,0,4.454347296,7.064759028,5.981414211,4.941642423,2.397895273,5.159055299
9573,0,2.302585093,3.401197382,6.572282543,3.496507561,1.945910149,5.198497031
9574,0,3.526360525,1.386294361,6.188264123,4.234106505,0,6.023447593
9575,0,4.454347296,6.642486801,6.150602768,0,4.574710979,0
9578,4.218111454,1.098612289,3.135494216,5.093750201,0,2.833213344,3.295836866
9579,0,2.890371758,4.343805422,5.433722004,4.442651256,1.945910149,5.247024072
9582,0,6.224558429,5.549076085,6.982862751,4.828313737,3.218875825,6.475432717
9584,0,3.555348061,4.510859507,6.023447593,4.983606622,3.044522438,4.605170186
9585,4.218111454,8.216628493,7.305188215,6.361302478,0,1.609437912,8.262300942
9589,0,1.791759469,2.944438979,5.697093487,5.262690189,0,5.429345629
9592,4.218111454,8.943767263,5.888877958,6.084499413,0,0,0
9593,0,2.63905733,3.871201011,5.624017506,3.63758616,3.295836866,2.708050201
9597,0,2.63905733,6.765038977,6.192362489,7.126890809,1.945910149,3.80666249
9599,0,3.295836866,5.945420609,6.878326468,5.129898715,3.970291914,0
9606,0,2.079441542,3.135494216,6.021023349,4.043051268,2.397895273,3.988984047
9754,0,3.17805383,4.043051268,6.391917113,3.871201011,1.098612289,6.249975242
9755,0,2.302585093,4.025351691,5.96100534,4.700480366,1.609437912,5.081404365
9759,0,2.944438979,3.433987204,6.198478716,5.209486153,2.708050201,4.983606622
9761,0,2.48490665,3.433987204,6.830874235,5.043425117,1.609437912,6.139884552
9842,0,4.219507705,4.828313737,6.00635316,0,3.218875825,0
9844,0,1.609437912,0.693147181,4.127134385,0,0,0
9845,0,3.784189634,5.087596335,5.771441123,5.575949103,0,3.17805383
9847,0,3.583518938,2.564949357,5.59471138,0,1.609437912,3.091042453
10010,0,6.559615237,5.575949103,5.910796644,0,0,0
10011,0,8.390949465,3.135494216,6.196444128,0,7.178545484,0
10014,4.218111454,7.98104976,6.576469569,1.386294361,0,3.931825633,8.586719254
11326,0,8.234564993,6.970730078,5.129898715,5.153291594,0,8.277157772
11327,4.218111454,8.996528148,6.333279628,0.693147181,0,1.609437912,8.299285907
11336,0,6.08221891,4.795790546,7.098375639,6.679599186,0,7.013915475
11337,0,4.290459441,5.627621114,6.34738921,5.703782475,2.944438979,6.88857246
11338,0,3.891820298,0,6.455198563,0,2.708050201,5.164785974
11339,0,2.48490665,4.369447852,7.029972912,3.988984047,3.295836866,5.379897354
11340,0,3.951243719,6.144185634,6.364750757,5.752572639,4.394449155,6.947937069
11341,0,2.708050201,4.812184355,5.976350909,5.384495063,2.397895273,6.173786104
11342,0,3.583518938,6.077642243,6.272877007,6.535241271,3.555348061,5.262690189
11352,0,2.63905733,1.609437912,6.343880434,6.154858094,0,4.584967479
11355,0,2.48490665,3.761200116,6.115892125,4.33073334,1.609437912,6.056784013
11357,0,3.044522438,4.317488114,6.732210706,4.343805422,3.931825633,5.627621114
11359,0,3.871201011,4.430816799,6.240275845,5.068904202,1.945910149,5.375278408
11360,0,3.713572067,4.477336814,6.610696045,4.990432587,2.944438979,5.723585102
11361,0,2.564949357,3.713572067,6.575075841,4.59511985,2.397895273,6.03068526
11364,0,2.995732274,4.852030264,6.17586727,4.762173935,2.564949357,5.379897354
11365,0,2.944438979,2.63905733,1.386294361,0,6.634633358,4.941642423
11366,0,3.912023005,2.079441542,6.086774727,5.493061443,1.609437912,2.890371758
11367,4.218111454,7.579167967,4.927253685,6.573680167,5.676753802,0,7.847371836
11368,0,4.890349128,6.595780514,7.123672785,7.272398393,4.077537444,7.048386409
11369,0,4.882801923,6.639875834,7.610357618,6.583409222,5.129898715,7.139660336
11370,0,3.258096538,2.079441542,5.252273428,0,0,0
11372,0,3.850147602,8.916237732,6.107022888,8.360305436,4.007333185,5.986452005
11374,4.218111454,2.944438979,4.543294782,6.03068526,0,2.708050201,5.159055299
11375,0,3.135494216,1.098612289,6.766191715,4.025351691,0,5.837730447
11380,0,3.33220451,3.713572067,6.224558429,5.620400866,3.218875825,0
11381,0,2.63905733,1.386294361,5.572154032,4.875197323,1.609437912,0
11383,0,3.044522438,4.262679877,5.869296913,0,0,6.008813185
11384,0,1.791759469,4.709530201,6.02827852,4.9698133,1.609437912,0
11385,0,2.833213344,3.931825633,5.97126184,4.564348191,1.609437912,6.018593214
11386,0,2.995732274,5.472270674,6.527957918,6.345636361,1.945910149,5.575949103
11389,0,2.197224577,3.36729583,5.509388337,0,2.397895273,5.356586275
11391,0,2.944438979,3.295836866,5.003946306,0,3.218875825,3.970291914
11393,0,3.465735903,5.030437921,7.356918242,5.236441963,1.098612289,6.805722553
11394,0,3.044522438,3.912023005,7.461640392,0,2.397895273,5.247024072
11396,0,2.772588722,4.234106505,6.410174882,4.859812404,0,6.463029457
11397,0,4.700480366,5.986452005,7.232733136,5.648974238,0,7.080867897
11399,0,3.761200116,5.308267697,7.266827348,5.472270674,4.007333185,5.894402834
11402,0,3.17805383,4.49980967,6.047372179,4.976733742,3.496507561,2.944438979
11743,0,5.66296048,4.709530201,6.12905021,5.075173815,1.098612289,6.688354714
11744,0,2.079441542,3.761200116,5.726847748,0,3.044522438,4.672828834
11745,0,4.060443011,5.616771098,5.96870756,5.501258211,3.295836866,7.24636808
11750,4.218111454,8.795430805,8.006367568,5.908082938,0,0,0
11751,4.218111454,9.478686708,7.467942332,6.675823222,6.817830571,0,0
11756,0,2.708050201,3.465735903,6.120297419,5.552959585,2.708050201,5.043425117
11760,0,3.17805383,3.044522438,7.347299701,5.420534999,3.663561646,6.216606101
11762,0,2.197224577,4.043051268,5.529429088,5.323009979,1.609437912,4.709530201
