,Gene-1,Gene-2,Gene-3,Gene-4,Gene-5,Gene-6,Gene-7,Gene-8,Gene-9,Gene-10,Gene-11,Gene-12,Gene-13,Gene-14,Gene-15,Gene-16,Gene-17,Gene-18,Gene-19,Gene-20,Gene-21,Gene-22,Gene-23,Gene-24,Gene-25,Gene-26,Gene-27,Gene-28,Gene-29,Gene-30,Gene-31,Gene-32,Gene-33,Gene-34,Gene-35,Gene-36,Gene-37,Gene-38,Gene-39,Gene-40,Gene-41,Gene-42,Gene-43,Gene-44,Gene-45,Gene-46,Gene-47,Gene-48,Gene-49,Gene-50,Gene-51,Gene-52,Gene-53,Gene-54,Gene-55,Gene-56,Gene-57,Gene-58,Gene-59,Gene-60,Gene-61,Gene-62,Gene-63,Gene-64,Gene-65,Gene-66,Gene-67,Gene-68,Gene-69,Gene-70,Gene-71,Gene-72,Gene-73,Gene-74,Gene-75,Gene-76,Gene-77,Gene-78,Gene-79,Gene-80,Gene-81,Gene-82,Gene-83,Gene-84,Gene-85,Gene-86,Gene-87,Gene-88,Gene-89,Gene-90,Gene-91,Gene-92,Gene-93,Gene-94,Gene-95,Gene-96,Gene-97,Gene-98,Gene-99,Gene-100,MutState-1,MutState-2,MutState-3,MutState-4,MutState-5,MutState-6,MutState-7,MutState-8,MutState-9,MutState-10
Gene-1,0.0,0.0,-0.0,-0.15220997816909643,0.0,-0.16315138751107353,0.0,0.11449815219465205,0.0,0.03860270355217306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.017295203633013217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018277456057869467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050757301765308294,-0.0028189732708565583,0.0,0.0,0.01970835261765078,0.0,-0.08397999274021405,0.0,0.0,0.0,0.018590054270791315,0.0,0.0,0.0,0.0,0.0,-0.025787305815595806,-0.09595362525920859,0.0,-0.0021343779715708167,0.0,0.0,0.04107575705061153,0.0,0.013582450083639116,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06104737334765244,0.0,0.0,0.0,0.026235680654300212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene-2,0.05333750290441475,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01343390369024628,0.0,0.0,0.0,0.0,0.041800538116629087,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.024733588024839676,-0.0,0.0,0.0,-0.0,0.0169507611194722,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.032984314857972624,-0.04241279560027422,0.0,-0.003786185339401523,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.05734524233856504,0.051539543510257295,0.0,0.0,-0.0,0.0,0.024821737767004203,0.0,0.0,0.0,-0.0,-0.023845417044515534,-0.03953311258828719,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436205256551768,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.04618034576472025,0.0,-0.0,-0.033614587248558606,0.0,-0.0,0.0,-0.0,-0.2789168984344149,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
Gene-3,-0.0,0.00710702745322043,0.0,0.0,0.0,0.0,0.014487715836963327,0.0,-0.0,0.0,-0.0330343507120232,-0.005240338549414632,0.0,-0.034812673684160904,0.0,-0.049948421544261254,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.03261220758598583,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.012420431267465514,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.00551093151997812,0.020092195875302275,-0.004921927905463449,-0.0,0.0,-0.0022225488753796715,-0.008528450705183868,0.0,0.0,0.0,0.0039472821371998425,0.0,0.0,0.0,0.0,0.0,-0.021837032853162006,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.023282040934527612,0.0,0.013004800548068662,0.051207404705325435,0.0,-0.0,-0.010250942754147993,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.005021578762752609,0.0,-0.046284748170024766,0.03004402084018566,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.046727625055883064,-0.055033529957999414,0.0,0.0,0.0
Gene-4,0.0,-0.048893930463725116,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.07187477304191404,0.0,0.008984130495869111,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.03997889138515366,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.03996559512592729,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.011928610108168074,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011870397288813995,0.0,-0.0,0.0,0.013014346980561347,0.0,-0.01793193394309604,0.0,0.0,0.0,0.0,0.0,-0.01761852435166188,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
Gene-5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.052043297084663084,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.062323668149096435,-0.03417147787329419,0.0,0.027759138873165976,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.013549842362161965,-0.0,0.0,0.0679667565574448,0.062095338263010405,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.025338118720474735,0.0,0.0,0.029005897571149197,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0028920734604227457,0.0,0.0,0.0,0.0,-0.0,0.015852814132869354,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
Gene-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03534238873223423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056993650113449076,0.0,0.04943672672075494,0.0,0.0,-0.0040965563131146725,0.0,-0.02788423018361439,0.0,0.0,0.0,0.0,-0.13151109240944364,-0.0032697251964503497,0.0,0.0,0.0,0.042775055092758855,0.07493064534650365,0.0,0.0,0.0,-0.011615320326951584,0.0,0.0,0.0,0.0068715654754118085,0.0,0.0,0.0,0.0,0.0,-0.1484600090519322,0.0,0.0,0.0,0.012735163633093767,0.0,0.0,-0.010302079450670106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044218251830597924,0.00233687809247396,0.0,0.06536601937336517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08600738531517695,0.0,0.0,-0.014565993453332407,0.0,0.039627546548591304,0.0,0.0,-0.032611573976871276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05196407443043881,0.0,0.0
Gene-7,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.02557650180058044,0.0,-0.07570201050149997,-0.07239836704445497,-0.04293762377733359,0.0,0.0,0.0,-0.041546342007390206,-0.08738464708163807,0.0,0.0,0.0,0.013328038243795847,0.0,-0.0,0.0,0.0,-0.032145651572302834,0.0,0.0,-0.0,0.0,0.0,0.0,0.06412072887361658,0.0,0.0,-0.010194726880329012,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.020422587279509238,0.0,-0.0,0.0,0.01813789606050432,0.02381321945619135,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.02141903456539177,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0342247382955472,-0.05933144963016467,0.024621994788244166,0.0,0.0,-0.0,0.0,0.015439891925211321,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.004104939469872033,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
Gene-8,0.0,0.0,0.0,0.003705945650946326,0.0,-0.015305315730630722,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0698642809060123,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004378339050052608,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.017244656657901373,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.07077107989867276,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.025613786951421483,-0.006806770630875129,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.02555356416413115,0.0,-0.0,-0.02599951557483434,0.0,0.0,-0.0,0.0010265586468669442,0.0,-0.0,-0.0018330943198426037,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Gene-9,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.02260651526513649,0.0,0.0,0.0,-0.0,-0.007475100665490728,-0.0,0.0,0.0,0.0,-0.09120015043645413,0.015216057118349773,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.00923497835084921,-0.0,0.0,-0.012942620124180652,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06540333175585294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.14390726601663745
Gene-10,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.009647443376034072,0.0,0.0,0.0,-0.0,0.0632301647810855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.07006979200734699,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0464312274966211,0.0,0.0,0.0,0.0,0.0,-0.0025250256577289847,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.027914698448348093,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027867914714491213,0.018825643740987948,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
