DSB repair/PC/,DSB repair/PCW/,DSB repair/NC/,DSB repair/NCW/,DSB repair/PA/,DSB repair/PAW/,DSB repair/NA/,DSB repair/NAW/,APOBEC-C/PC/,APOBEC-C/PCW/,APOBEC-C/NC/,APOBEC-C/NCW/,APOBEC-C/PA/,APOBEC-C/PAW/,APOBEC-C/NA/,APOBEC-C/NAW/,SBS1/PC/,SBS1/PCW/,SBS1/NC/,SBS1/NCW/,SBS1/PA/,SBS1/PAW/,SBS1/NA/,SBS1/NAW/,APOBEC-D/PC/,APOBEC-D/PCW/,APOBEC-D/NC/,APOBEC-D/NCW/,APOBEC-D/PA/,APOBEC-D/PAW/,APOBEC-D/NA/,APOBEC-D/NAW/,SBS5/PC/,SBS5/PCW/,SBS5/NC/,SBS5/NCW/,SBS5/PA/,SBS5/PAW/,SBS5/NA/,SBS5/NAW/,SBS8/PC/,SBS8/PCW/,SBS8/NC/,SBS8/NCW/,SBS8/PA/,SBS8/PAW/,SBS8/NA/,SBS8/NAW/,SBS8/PC/,SBS8/PCW/,SBS8/NC/,SBS8/NCW/,HRD status/PA/,HRD status/PAW/,HRD status/NA/,HRD status/NAW/
HRD status,0.260797111,TRIM34,-0.118822598,APOBEC,0.160712328,TDRD9,-0.036343055,DSB repair,0.160712328,SBS1,-0.078975253,APOBEC-D,0.416498638,SBS1,-0.059414852,IFITM3,0.151927461,BST2,-0.089215735,RASGRP4,0.047821073,APOBEC,-0.078975253,APOBEC,0.416498638,IL2RB,-0.097371116,ADAMTS13,0.024788771,BATF2,-0.018856458,MCM2,0.11135414,FARP2,-0.098846017,JAG2,0.038548459,FARP2,-0.03603063,IFITM2,0.109703612,CCR8,-0.211373651,EEPD1,0.014920543,SOX6,-0.021345055,IFITM2,0.109703612,CCR8,-0.211373651,DSB repair,0.260797111,FKBP6,-0.058958433
APOBEC3B,0.068674846,PKIB,-0.043033199,SLC16A1,0.026268262,CD151,-0.027188409,IL7,0.081689104,WDR78,-0.053483649,CLNK,0.050703724,MAP3K4,-0.015991607,RASGRP4,0.097208074,APOBEC,-0.059414852,IFITM3,0.046987143,GRB14,-0.039961432,APBB1,0.073471132,GAB2,-0.076077204,DCLRE1C,0.024700271,CEACAM1,-0.017369185,MITF,0.087852295,FRK,-0.06916923,MITF,0.032436911,FRK,-0.035349786,POLM,0.059549095,TXK,-0.101107408,SOD1,0.013303413,DYNC2H1,-0.016138934,POLM,0.059549095,TXK,-0.101107408,MAD1L1,0.041623697,APOBEC-D,-0.021907466
SLC16A1,0.044414377,TDRD9,-0.042269623,OGG1,0.024601282,HEMK1,-0.023098018,STYK1,0.055634968,CDKN1C,-0.045166505,SBS5,0.029866965,REL,-0.015800229,DAB2IP,0.037411536,STON2,-0.055598266,TEX11,0.031514626,CBS,-0.035567187,BMX,0.049237023,REXO4,-0.043253773,TWIST1,0.024597697,TRIM28,-0.016745599,MAPKAPK2,0.07955851,SLA2,-0.053813662,APOBEC3H,0.029578631,CBX8,-0.027625728,DAPK2,0.03949462,MAPKAPK3,-0.084874397,RAB6A,0.011557817,CHUK,-0.013934268,DAPK2,0.03949462,MAPKAPK3,-0.084874397,EME1,0.025166414,FCGR3B,-0.019119091
GPR97,0.038728777,CXCL14,-0.036215025,FANCI,0.021922002,WDR78,-0.02126134,PIK3R2,0.042759578,CCR6,-0.044607816,PGM3,0.024543636,ANKLE1,-0.015551228,FOXL1,0.025795247,GZMH,-0.055116198,TLR5,0.028621504,P2RX7,-0.029896091,C17orf66,0.004351404,HRD status,-0.021907466,KIF22,0.013291213,CTPS,-0.015928587,APOBEC,0.029866965,IL1A,-0.046097314,APOBEC,0.026783526,TNFRSF10A,-0.019122499,TPO,0.00963506,NHP2,-0.049113111,ADM,0.010764288,XPC,-0.012770385,TPO,0.00963506,NHP2,-0.049113111,ZSWIM7,0.024549552,CAMK2B,-0.017486423
EPHB3,0.036413157,PLA2G2D,-0.027719215,FOXM1,0.020657482,UIMC1,-0.018067994,CLNK,0.03813178,STAR,-0.032917795,IL7,0.022377341,NSMCE4A,-0.014693844,POLM,0.013824644,RNF125,-0.049673456,ARIH2,0.022735366,CD40,-0.027278045,,,,,C17orf66,0.013077289,PODXL,-0.014760798,CXADR,0.017803692,SLC7A11,-0.044902663,CCT2,0.019378537,AMICA1,-0.018585991,,,MOV10L1,-0.046821119,FARP2,0.01013923,C1S,-0.01256727,,,MOV10L1,-0.046821119,TFRC,0.021324124,ZRANB3,-0.016676554
FZD5,0.0239702,BRCA1,-0.015960192,SEC13,0.020056368,IL10RB,-0.017827603,IL1RL2,0.035996104,PAK1,-0.027921005,SLC25A38,0.016241597,NOTCH2,-0.01213592,,,ZNF175,-0.047599192,CREBBP,0.022146093,STON2,-0.025178451,,,,,SLC16A1,0.012297097,GATAD2A,-0.01300574,ISG15,0.008779032,TAZ,-0.037609379,THBS1,0.018198421,RAB27A,-0.018561272,,,EDN1,-0.040921078,SFRP2,0.00953741,BTN3A2,-0.012256537,,,EDN1,-0.040921078,PXDN,0.018684573,SRPK2,-0.014647595
PDGFB,0.020485469,,,CSNK1E,0.018738337,POLR2L,-0.014927757,SBS5,0.026783526,OSM,-0.003285174,APOBEC3D,0.015016397,GTF2H5,-0.010058611,,,RAB34,-0.039024916,PREX1,0.021746784,MYO1C,-0.023633576,,,,,PRMT7,0.012290961,NBN,-0.012245401,,,FOXJ1,-0.0331358,MCM3AP,0.017682902,EMP2,-0.018470633,,,,,KIF3C,0.009397203,ERCC8,-0.012039839,,,,,NCKIPSD,0.016922142,POLR3C,-0.014477976
RASGRP1,0.019621995,,,PSMA7,0.018245457,HFE,-0.0139282,FCN3,0.024586295,LTF,-0.002970627,IL18R1,0.014456461,KIF2C,-0.009404545,,,GREM1,-0.037314597,MYC,0.020132316,DCLRE1C,-0.021894507,,,,,STXBP2,0.012157164,PKIB,-0.012172645,,,EFNB2,-0.02985325,SEC14L1,0.014557732,IGBP1,-0.018461857,,,,,SUPT6H,0.009144137,LCP1,-0.011886746,,,,,PIK3CA,0.016901569,CDK7,-0.013635354
CD207,0.000348438,,,CSK,0.016410257,MR1,-0.01285336,ST20,0.014025855,MATK,-0.001462362,RTEL1,0.014044498,ELMOD2,-0.009081696,,,TNF,-0.027052023,EPAS1,0.019909197,ERCC6,-0.020659288,,,,,IL4R,0.011929265,MAPK1,-0.01203364,,,ADARB1,-0.018261429,RFC3,0.014428703,JAK2,-0.018416078,,,,,MAPK3,0.00889273,IDO1,-0.011586858,,,,,XBP1,0.016834639,AP2A2,-0.013520368
,,,,SH3PXD2A,0.01459104,PSMD13,-0.012609776,CD7,0.001829189,,,AP1M1,0.011615807,CFI,-0.007977316,,,OGG1,-0.016237961,ITGB3,0.019358527,IMPDH1,-0.020184422,,,,,JAK1,0.011033157,SLC11A2,-0.011555549,,,MAP2K7,-0.009733158,UCHL5,0.014413586,MBP,-0.015350173,,,,,PPARG,0.008738782,AMICA1,-0.011240759,,,,,ACTL6A,0.015309955,MERTK,-0.01102312
