SBS1/PC/,SBS1/PCW/,SBS1/NC/,SBS1/NCW/,SBS1/PA/,SBS1/PAW/,SBS1/NA/,SBS1/NAW/,SBS2/PC/,SBS2/PCW/,SBS2/NC/,SBS2/NCW/,SBS2/PA/,SBS2/PAW/,SBS2/NA/,SBS2/NAW/,SBS4/PC/,SBS4/PCW/,SBS4/NC/,SBS4/NCW/,SBS4/PA/,SBS4/PAW/,SBS4/NA/,SBS4/NAW/,SBS5/PC/,SBS5/PCW/,SBS5/NC/,SBS5/NCW/,SBS5/PA/,SBS5/PAW/,SBS5/NA/,SBS5/NAW/,SBS13/PC/,SBS13/PCW/,SBS13/NC/,SBS13/NCW/,SBS13/PA/,SBS13/PAW/,SBS13/NA/,SBS13/NAW/,SBS40/PC/,SBS40/PCW/,SBS40/NC/,SBS40/NCW/,SBS40/PA/,SBS40/PAW/,SBS40/NA/,SBS40/NAW/
MEN1,0.07526671029025807,CLU,-0.04996307723360962,SBS4,0.05527583480763738,LY6D,-0.033539496606046056,SBS13,0.6331409805844778,MECP2,-0.03908606142556309,SBS13,0.6122094358022733,ITPKB,-0.017455453542747537,GPR15,0.29797696305442306,RASGRP1,-0.049849253265967765,SBS40,0.2696953355072101,ELANE,-0.018876528222317283,SBS4,0.14731874745669415,SBS40,-0.2234677777480936,SBS4,0.1821605702265337,SBS40,-0.267763937134114,SBS2,0.6122094358022733,TRIM8,-0.042858783064524376,SBS2,0.6331409805844778,INHA,-0.026344542048674882,SBS4,0.2696953355072101,SBS5,-0.267763937134114,SBS1,0.023289728264924564,SBS5,-0.2234677777480936
CALCOCO2,0.05341611869891267,ERCC6L2,-0.04242545707725197,SBS40,0.02738504299375133,RORA,-0.022247264658050308,HDAC8,0.05610978381245305,STAT5B,-0.028544317807580637,IL20RB,0.03175458021930178,TFEB,-0.017036868589515978,SBS5,0.1821605702265337,HP,-0.031191828720613657,SBS5,0.14731874745669415,CLEC7A,-0.01545132341908571,TONSL,0.0391803651142749,APLF,-0.06044914501799106,SBS13,0.0522028386630494,CYREN,-0.01606771016064455,INPPL1,0.05965542083868535,ETAA1,-0.033168942917245176,HOXB7,0.02475361911182897,IGLC6,-0.025988399693187756,TMEM91,0.08977907191152752,SSBP3,-0.06970191748153559,CDC7,0.012821454910053254,CUL4A,-0.00855807583370961
RPS6KA3,0.05271406054334736,ZNF385A,-0.041139584548277125,ULBP2,0.015409573976815938,TINAG,-0.013880244258241936,IL20RB,0.04628947665881035,ITPKB,-0.018352721864557383,ADD2,0.02009651675507521,XCL2,-0.01655793297356839,CXCL9,0.0747262638437504,EDA,-0.01660391252649454,GPR15,0.08210417509081071,CD40LG,-0.01054414820402205,MCM7,0.02605272784209814,ACTR8,-0.05913605297797544,CHRNB2,0.01682611350887514,INPP5D,-0.0065518589640355,SBS5,0.0522028386630494,WNT10B,-0.03077433887677255,CBX8,0.01981692572666512,AZGP1,-0.013907577691829015,ADAM9,0.06844299658160641,LIF,-0.02660061603735908,DNA2,0.010154989325658536,IRF4,-0.007015953632279298
TREML2,0.032807815221314096,VNN1,-0.02963913436020402,CBX8,0.014688054988579884,IL18RAP,-0.0119775147598391,ERCC2,0.04075870870975279,SHH,-0.016781968626321427,RFTN2,0.01980446259846626,ROCK1,-0.015238247740973904,SBS1,0.05527583480763738,APOBEC3H,-0.00987631597949952,IGHG1,0.03180812935750299,CCL3,-0.009954090568168634,AHCY,0.025723294920829042,PAK3,-0.04832357865620068,VSTM1,0.016769369425144745,CSF2,-0.005690141071807344,MLF1,0.0352302908578806,DDIT4,-0.015972307821831462,LILRA1,0.01972573504297589,CALCA,-0.01066597288257895,SBS1,0.02738504299375133,EPB42,-0.022430612304847303,GPR174,0.006916936073445981,GJA1,-0.005744573072851984
ITGAD,0.030745180073901257,PYGO1,-0.025244221800060543,XRCC4,0.003809185987754447,PYGO1,-0.009667509971609818,KDM4D,0.02450316970865353,ALKBH2,-0.013624383042326393,SELE,0.01476628652044975,SHH,-0.01496951479049832,BCL6,0.04442082089795119,,,IGHD,0.025481165179060628,IGHG2,-0.009884535428844413,NBEAL2,0.014399130177103509,MUS81,-0.047940543028729125,TRIM31,0.00880066316214035,PICK1,-0.0044673444728539355,APOBEC3B,0.02379199017031964,PRKD1,-0.011812706455224751,CDK7,0.01658121832412979,CACNB3,-0.010114199565893323,HIF1A,0.007740252302442769,KAT5,-0.017255411572214982,MSH2,0.006695575973255553,IGLL5,-0.005032254885629206
SBS40,0.023289728264924564,FZD9,-0.024583875932723667,MFNG,0.0023294460030268485,ABCB4,-0.008589866187168019,HLA-H,0.020707166004976147,FCGRT,-0.002150637871018969,SBS1,0.014585328067959038,TFPT,-0.012567644102902498,ERCC1,0.022212906542338262,,,CD8A,0.021631164189805697,ATRX,-0.007222299707396002,CYP27B1,0.010134380411583543,PTX3,-0.03775044279643161,PARPBP,0.007220871055129471,ARPC4,-0.0015860182514767672,SIGLEC15,0.008855135072670224,,,TET3,0.015527995418130469,DEFB1,-0.008763577148019501,,,CDK7,-0.00016663677608222405,MCM10,0.006667587784665058,NHP2,-0.003117336408125398
SIRT2,0.021834491999346388,TERT,-0.018971413256044626,BRAF,0.00030756752434068016,RNASEH1,-0.0024246974811254624,XPA,0.00716627884019865,EEPD1,-0.0016048772559830447,PHB,0.014374562132032469,ICOS,-0.012285973425777072,NLRP12,0.01545449530217409,,,ACVRL1,0.010203220428750043,NEIL1,-0.0061521859890839815,BVES,0.0049460094056407175,PARG,-0.03721354629425599,MCM10,0.005192330065460301,CDKN2D,-0.0014467969192656707,SYNCRIP,0.0078033200494136605,,,PTAFR,0.014296783694642285,IL15,-0.008191476748532937,,,,,CXCL12,0.00391622971566585,PATZ1,-0.00277959162577128
NLRP6,0.019792145947614644,ST6GAL1,-0.016697980167316842,,,SLC16A3,-0.0003643375891245228,TP53,0.006184449645570075,DYNC2H1,-0.00018273539302146116,LEF1,0.010832559889454928,CRIP2,-0.006134678991694575,HRH1,0.011253404740586087,,,SUPT6H,0.00923178763615665,IL34,-0.005971161596700768,TLR5,0.004164807955138711,HLA-DQA2,-0.022058686804691332,KIF23,0.0041568661180586145,PLA2G1B,-0.0007782375433111749,TWIST1,0.005249113114422138,,,APOBEC3A,0.01382153938186028,TINF2,-0.007538019142450387,,,,,IGLC6,0.003043777815945697,CD300C,-0.002512406487821979
EPHB3,0.019161789150765742,TNFRSF10D,-0.015239246594263178,,,PSME3,-0.00024696797933883817,,,,,ALCAM,0.009614436216624963,MADCAM1,-0.005902357127891549,SBS13,0.0069721131723265856,,,IGKV1D-33,0.007868471962550309,DDX60,-0.005479384065024314,,,SH3GL2,-0.01823705822189417,GPR15,0.004090630392677643,GBP2,-0.0005468716250669574,MEIOC,0.004718968947542084,,,SHLD3,0.00956558704168775,CTC1,-0.007193068361181502,,,,,NIPBL,0.0020996186188649603,FOLR2,-0.002319528673270461
XCL2,0.018429924033975517,CD300LG,-0.01386278859963347,,,LEP,-9.170039547945483e-05,,,,,RFC3,0.008579629646619184,JAG1,-0.005867908386940159,APTX,0.005454059102089976,,,CDC5L,0.006232863451521725,SLF1,-0.005172675931059804,,,GTF2H2,-0.0069234130842079356,HMGB3,0.003503106968087491,LST1,-0.0003801722098256419,FOXE1,0.0020067048733808934,,,EXO5,0.00910355001082757,CDKN1C,-0.006597901036349836,,,,,XCL2,0.0014753822691240571,CHRNB2,-0.0018652435772550946
